"miRNA","GSM2300551","GSM2300552","GSM2300553","GSM2300554","GSM2300555","GSM2300556","GSM2300557","GSM2300558","GSM2300559","GSM2300560","GSM2300561","GSM2300562","GSM2300563","GSM2300564","GSM2300565","GSM2300566","GSM2300567","GSM2300568","GSM2300569","GSM2300570","GSM2300571","GSM2300572","GSM2300573","GSM2300574","GSM2300575","GSM2300576","GSM2300577","GSM2300578","GSM2300579","GSM2300580","GSM2300581","GSM2300582","GSM2300583","GSM2300584","GSM2300585","GSM2300586","GSM2300587","GSM2300588","GSM2300589","GSM2300590","GSM2300591","GSM2300592","GSM2300593","GSM2300594","GSM2300595","GSM2300596","GSM2300597","GSM2300598","GSM2300599","GSM2300600","GSM2300601"
"Rpl19|0",4,11,12,9,10,11,10,9,11,7,8,5,4,7,10,92,186,18,18,34,15,40,39,42,25,18,54,4,104,103,40,64,9,25,81,71,18,37,66,77,84,30,87,205,50,76,77,133,86,51,149
"B2m|0",5,3,6,13,8,4,12,2,4,8,8,7,4,10,12,118,271,20,9,86,32,86,52,92,25,32,27,3,201,151,42,67,36,29,68,98,32,63,58,196,235,54,146,218,47,51,100,113,77,37,92
"Gapdh|0",0,4,1,6,0,2,4,0,2,1,5,1,3,0,1,116,109,69,2,77,45,102,146,77,81,27,171,5,106,135,51,47,6,106,363,59,12,122,225,155,91,72,203,355,148,134,160,323,160,51,217
"Actb|0",6,6,5,11,6,9,22,9,11,3,15,9,9,8,16,255,428,33,27,79,39,94,79,128,63,32,163,11,315,380,71,141,33,37,71,144,41,68,93,352,361,119,250,441,142,114,210,236,235,105,164
